title,link,source,published_str,pub_date,doi,abstract,abstract_source,must_have_abstract,published,title_zh,abstract_zh
Single-crystal 2D covalent organic frameworks for high-capacity methane storage,https://www.nature.com/articles/s41467-026-69614-7,Nature Communications,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,"2D covalent organic frameworks (COFs) usually possess a polycrystalline nature as well as lower porosity and surface area than 3D counterparts, restraining their exploration over gas storage applications. Herein, a substituent strategy has been proposed and employed to generate three robust single-crystal 2D COFs isomers with atom-resolution structures determined by 3D electron diffraction. Among three isomers, a precise engineering of their interlayer distance affords the highest Brunauer−Emmett−Teller surface area of ~2100 m2 g−1 and the largest pore volume of 1.40 cm3 g−1 for the desolvated GZU-1. This COF shows the highest total volumetric methane uptake of 240 cm3 (STP) cm−3 at 273 K and 100 bar among 2D COFs, even comparable with those for excellent 3D MOFs. This work not only delivers unique insight into the design of 2D single-crystal COFs by interlayer stacking regulation, but also promotes the application of highly porous 2D COFs in gas storage.",nature_html,0,,高容量甲烷储存的单晶2D共价有机框架,"2D共价有机框架(COFs)通常具有聚晶体性质,孔径和表面面积比3D对口方低,限制对气体储存应用的勘探。在此,提出了替代战略,并用于产生由 3D 电子分解确定的具有原子分辨率结构的3D 共价有机框架的三种强单晶体2DCOF异构体。在三种异构体中,其中间距离的精确工程使Brunauer-Emmett-Teller的表层面积为~2100 m2 g-1,最大孔径为1.40 cm3 g-1,该COF在2D COFs中的总吸收量为240 cm3(STP) cm-3,在273 K和100 bar,甚至与优秀的3D MOFs相近。这一工程不仅会断裂。"
From nicotine to SARS-CoV-2 antivirals with potent in vivo efficacy and a broad anti-coronavirus spectrum,https://www.nature.com/articles/s41467-026-69527-5,Nature Communications,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,"Anecdotal reports about smoking that might prevent SARS-CoV-2 infection inspire the search for nicotine and its pyrolysis products as inhibitors of the SARS-CoV-2 main protease (MPro). This effort leads to the discovery of 3-vinylpyridine as an MPro inhibitor. 3-Vinylpyridine resembles part of nirmatrelvir in binding to MPro but does not involve a critical interaction with residue E166, whose mutation has led to resistance to nirmatrelvir. Integration of the two molecules, followed by a medicinal chemistry campaign, produces several molecules with better in vitro potency than nirmatrelvir. Two lead molecules, YR-C-136 and SR-B-103, display better pharmacokinetic characteristics than nirmatrelvir in virus-challenged male mice and much better antiviral efficacy in virus-challenged female mice. Both molecules maintain high potency in inhibiting the nirmatrelvir-resistant MPro (E166V/L50F) variant. They also exhibit a broad and highly potent antiviral spectrum against most pathogenic coronaviruses. With high in vivo potency, both molecules are potentially standalone pan-antivirals for coronaviruses and may serve as countermeasures for future coronavirus outbreaks.",nature_html,0,,"从尼古丁到SARS-COV-2抗病毒剂,其活体效力强,抗锥体病毒谱谱系宽广","有关吸烟可能防止SARS-COV-2感染的传闻报告促使人们寻找尼古丁及其热解产品,作为SARS-COV-2主要蛋白抑制剂(MPro),这导致发现3-vinypyridine为MPro抑制剂。 3-Vinylpyridine类似于与MPro有约束力的Nirmatrervir病毒的一部分,但并不涉及与E166残留物的重要互动,这些残留物的突变已导致对尼马特雷尔病毒的抗药性。 这两种分子的结合,接着是药用化学运动,产生几种活性强于硝基甲醚的分子。"
Ligand-dependent Wnt signaling promotes gastric cancer metastasis through hyaluronan expression in microenvironment,https://www.nature.com/articles/s41467-026-69470-5,Nature Communications,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,"The majority of gastric cancer cells proliferate in a Wnt ligand-dependent manner. To investigate this, we generated mice harboring Kras, Tgfbr2, and Trp53 (KTP) as well as with the same mutations plus Wnt1 expression (WKTP) in gastric mucosa. While KTP mice develop gastric metaplasia, WKTP mice develop dysplastic tumors, highlighting the role of ligand-dependent Wnt signaling in primary tumorigenesis. Organoids derived from WKTP mice form liver metastases following splenic transplantation, whereas KTP organoids do not. Notably, Apc disruption fails to induce metastasis of KTP cells, suggesting that stromal Wnt signaling promotes metastasis. Mechanistically, tumor-derived Wnt ligands cooperate with TGFβ signaling to induce Has2 expression in cancer-associated fibroblasts (CAFs), leading to hyaluronan accumulation in the metastatic microenvironment. Strikingly, hyaluronidase expression in WKTP cells significantly suppresses liver metastasis. Here we show the critical role of ligand-dependent Wnt signaling and Has2-mediated hyaluronan deposition in metastasis, offering potential therapeutic strategy against gastric cancer metastasis.",nature_html,0,,"在微环境中,诱发致神经依赖的Wnt信号会促进胃癌通过在微环境中表现出的丙环南的表情而转移,从而导致胃癌转移。","大部分胃癌细胞都以不连续依赖的方式扩散。 为了对此进行调查,我们产生了小鼠,窝藏着克拉斯、Tgfbr2和Trp53(KTP)以及胃肌肉中相同的突变和 Wnt1 表达式(WKTP ) 。 KTP 小鼠开发了胃形变形,而WKTP 小鼠则开发了痢疾肿瘤,突出显示依赖液态信号在主要肿瘤发芽中的作用。来自WKTP小鼠的有机体在口腔移植后形成肝脏转移,而KTP类则没有。 值得注意的是,Apc中断未能诱发KTP细胞的转移,表明磁性电动信号会促进转移。 机械、肿瘤衍生的Wntligands与TGFET合作,以诱导与癌症有关的纤维(CAFF)中的HS2表达式信号,导致与癌症有关的纤维(CAFFF)产生。"
"Decision-oriented assessment of redox flow batteries for grid-scale energy storage: Scalability, system complexity, and intelligent operation",https://www.sciencedirect.com/science/article/pii/S030626192600200X?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,对用于电网规模能源储存的红氧化物流动电池进行决策性评估:可缩放性、系统复杂性和智能操作,
Functional distinctions between orbitofrontal cortex and anterior cingulate cortex subregions in decision-making and autonomic regulation,https://www.nature.com/articles/s41467-026-69447-4,Nature Communications,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,"Mood disorders are associated with complex disruptions in brain networks, including those associated with the orbitofrontal cortex (OFC) and pregenual anterior cingulate cortex (pACC). Differential functions of these regions, especially the functions of the far-caudal OFC, are incompletely understood. We trained macaques to perform an approach-avoidance task and recorded cOFC and pACC neuronal activity and autonomic/somatic responses during performance, including during electrical microstimulation (EMS) of the cOFC. The cOFC was sensitive to both positive and negative stimuli, whereas the pACC was significantly more active during aversive outcomes. cOFC EMS increased avoidance, suggesting a causal cOFC function in cost-benefit decision-making. The cOFC activity led pACC activity during the decision period, supporting cOFC network prominence. Autonomic and somatic responses were positively correlated with behavioral patterns, consistent with a coordinated body-brain involvement during emotionally significant decision-making. We suggest that dysfunction of this network could potentially contribute to the etiology of mood disorders.",nature_html,0,,"在决策和自动调节中,轨道前前额皮层皮层与前前卵层皮层次区域在决策和自动调节方面的功能区别","与大脑网络,包括与轨道前皮层(OFC)和前额脑皮层(PACC)有关的大脑网络的复杂中断与 Mood 紊乱有关,这些大脑网络包括轨道前皮层(OFC)和前额脑皮层(PACC)的复杂中断,这些区域的不同功能,特别是远审计前部皮层(PACC)的功能不完全理解,我们训练了大象来进行避免方法的任务,记录了COFC和PAC的神经活动以及包括COFC进行电微动(EMS)期间的自动/身体反应。COFC活动在电微动刺激(EMS)期间对正和负刺激都十分敏感,而PACC在逆结果期间则非常活跃。COFC EMS增加了避免作用,表明COFC在成本效益决策中具有因果性功能。COFC的活动引导了PACC的活动。"
"Insights into the role of gasification media in gasification process: Principles, advantages, bottlenecks and prospects",https://www.sciencedirect.com/science/article/pii/S0306261926001959?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,深入了解气化介质在气化过程中的作用:原则、优势、瓶颈和前景,
Biomass procurement and supplier diversification for energy generation: Optimization models and insights,https://www.sciencedirect.com/science/article/pii/S0306261926001960?dgcid=rss_sd_all,ScienceDirect Publication: Applied Energy,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,,,0,,促进能源生产的生物物质采购和供应商多样化:优化模式和见解,
Blood-based epigenetic instability linked to human aging and disease,https://www.nature.com/articles/s41467-026-69430-z,Nature Communications,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,"The abundance, dynamics, and context-dependent heterogeneity of DNA methylation, where a pattern considered abnormal in one cell type may be normal in another, complicate the identification of early methylation changes that drive or signal disease development. This complexity can obscure early markers of increased disease risk, making it challenging to detect and intervene in disease processes at their inception. Here, we report 31,744 CpG loci exhibiting highly consistent methylation profiles in the blood of young, healthy individuals. We assess alterations at these epigenetically stable loci in 8,886 individuals across 29 diverse cohorts, including those with hematological cancers (n = 3159), cardiovascular complications (n = 2788), and healthy controls (n = 2939). Our findings reveal methylation pattern disruption in myeloid and lymphoid malignancies, correlating with clonal burden dynamics and mutation frequency throughout leukemia treatment. In non-cancer cohorts, we observe that methylation levels at epigenetically stable loci become increasingly variable with age, a shift linked to higher cardiovascular disease risk and lower survival rates. This study highlights DNA methylation instability as a blood-based biomarker for both hematological cancer and cardiovascular disease and uncovers a mechanistic link between methylation dynamics and the expansion of maladaptive hematopoietic clones.",nature_html,0,,与人类老龄化和疾病相关联的基于血液的遗传性不稳定性,"DNA甲基化的丰富性、动态性和因地而异的异质性,一种细胞类型的模式被认为是不正常的,这种模式在另一个细胞类型中可能是正常的,这使得早期甲基化变化的识别工作复杂化,从而驱动或信号疾病发育的早期甲基化变化。这种复杂性可能掩盖疾病风险增加的早期标志,使得在疾病发生时发现和干预疾病过程具有挑战性。这里,我们报告31,744 CpG在年轻、健康个人的血液中呈现出高度一致的甲基化特征。我们评估了29个不同组群中8,886人中这些显性稳定的偏移的改变,包括染癌症(n=3159)、心血管并发症(n=2788)和健康控制(n=2939)。我们的调查结果显示,我发现我的情况。"
Large-array sub-millimeter precision coherent flash three-dimensional imaging,https://www.nature.com/articles/s41467-026-69188-4,Nature Communications,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,"High-precision three-dimensional (3D) imaging is essential for accurately perceiving environments, providing critical depth and spatial awareness. Among various approaches, solid-state LiDAR systems have garnered significant attention. However, depth precision, detection range and pixel scalability remain key challenges for their widespread adoption. Here, we report a large-array coherent flash 3D imaging system that achieves a sub-millimeter range precision through stepped-frequency modulation and coherent detection with CCD sensors. A coherent image sensor is developed, and a prototype system is demonstrated, providing 3D imaging with a depth precision as high as 0.47 mm over a range of 30.50 m at an optical power of 15.86 mW and a maximum frame rate of 10 Hz. Our system features high range precision, exceptional sensitivity across long distances, and robust pixel scalability by directly leveraging well-established CCD sensors. This advancement introduces a scalable approach to long-range high-precision 3D imaging, with substantial implications for deformation monitoring, virtual reality, and cultural heritage preservation.",nature_html,0,,大型长阵次毫米精确度一致闪光三维成像,"高精度三维(3D)成像系统是准确感知环境的关键,提供了临界深度和空间意识,在各种办法中,固态激光雷达系统已引起极大关注,但深度精确度、探测范围及像素缩缩缩度仍然是广泛采用这些系统的关键挑战。这里,我们报告了一个大型阵列串联闪光三维成像系统,通过中继频率调制和与CCD传感器的一致探测,达到亚毫米射程精确度。开发了一个连贯的图像传感器,并演示了一个原型系统,以15.86毫瓦的光学功率和10千赫的最高框架速率,提供深度精确度高达0.47毫米、30.50米范围内的三维成像系统。我们的系统具有高射线特征。"
ATRX loss couples genome instability at a G-rich repeat to dysregulation of human alpha-globin expression,https://www.nature.com/articles/s41467-026-69169-7,Nature Communications,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,"Germline mutations in the chromatin remodelling protein ATRX cause a severe developmental disorder associated with α-thalassemia. In addition, ATRX is amongst the twenty genes most frequently mutated in cancer. How ATRX mutations alter gene expression remains unclear. Using the α-globin locus as a model, here we show that ATRX deficiency downregulates α-globin in a subset of cells exhibiting DNA damage. A G-rich repeat at the α-globin locus serves as a potential site of G-quadruplex formation and DNA damage. ATRX binds this repeat co-transcriptionally, and its loss increases R-loop accumulation at this site, leading to local DNA damage and transcriptional disruption in cis. Deletion of this repeat abolishes this effect, while targeted DNA damage reinstates it. These findings reveal a mechanism linking ATRX’s role in genome stability to transcriptional regulation and uncover a molecular basis of human genetic disease mediated via a distal G-rich repeat.",nature_html,0,,"ATRX丧失夫妇基因组的不稳定性,在G级富集重复对人类甲型血红蛋白表达方式进行脱氧调节时出现","染色体对蛋白ATRX进行改造后,其染色体突变导致与α-地中海贫血有关的严重发育障碍。此外,ATRX是癌症中最经常变异的20种基因之一。ATRX突变如何改变基因表达方式仍不清楚。我们在这里显示,在一组细胞中,ATRX缺乏对α-格罗宾色素进行下调,显示DNA损伤。在α-格罗宾色体中,G-富重重复是G-夸德鲁弗勒形成和DNA损害的潜在地点。ATRX将这一重复的共作并用基因组合结合在一起,其损失增加了这个地点的R-loop累积,导致当地DNA损害和细胞的转基因中断。这种重复的消除作用,而有针对性的DNA损害又恢复了这种作用。这些发现揭示了一种介质。"
"Visualization of oligomerization, clustering, and density transition of intrinsically disordered proteins",https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag107/8483906?rss=1,National Science Review Advance Access,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,10.1093/nsr/nwag107/8483906,,,0,,内有障碍蛋白质的寡分化、聚集和密度转换的可视化,
Towards a sustainable high-quality materials data ecosystem: frameworks and strategies,https://academic.oup.com/nsr/advance-article/doi/10.1093/nsr/nwag108/8483891?rss=1,National Science Review Advance Access,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,10.1093/nsr/nwag108/8483891,"High-quality data has increasingly been recognized as a critical catalyst in advancing artificial intelligence-driven materials discovery and design. However, the current data generation and management systems in materials science are often deficient, resulting in an abundance of low-quality data characterized by heterogeneous formats, incomplete entries, and semantic inconsistencies. Such fragmented data landscape limits direct access to reliable datasets, making it inevitable to allocate substantial resources toward data consolidation and governing existing data. Here, we propose a comprehensive quality-controlled framework encompassing all three principal stages of the research lifecycle—acquisition, management, and utilization. By establishing stage-specific requirements, materials data quality can be concurrently optimized and enhanced throughout the materials research and development process. Furthermore, we propose five strategic initiatives to operationalize this framework, including an integrated computational-experimental ‘data factory’ for data acquisition and an automated toolkit for data quality assessment. This work aims to embed quality-governed production directly into scientific inquiry, fostering a sustainable and robust materials data ecosystem.",rss_oup,0,,实现可持续的高质量材料数据生态系统:框架和战略,"人们日益认识到,高质量的数据是推动人工智能驱动材料的发现和设计的重要催化剂,然而,目前材料科学中的数据生成和管理系统往往不足,导致大量低质量数据,其特点是格式不同、条目不完整和语义不一致,这种分散的数据景观限制了直接获得可靠数据集的机会,因而不可避免地为数据合并和管理现有数据划拨大量资源。在这里,我们提议了一个全面的质量控制框架,涵盖研究生命周期的所有三个主要阶段——获取、管理和利用。"
"Enabling global-scale nucleic acid repositories through versatile, scalable biochemical selection from room-temperature archives",https://www.nature.com/articles/s41467-026-69402-3,Nature Communications,2026-02-14 00:00:00 UTC,2026-02-14 00:00:00+00:00,,"Conventional storage and retrieval of nucleic acid specimens, particularly unstable RNA, rely on costly cold-chain infrastructure and inefficient robotic handling, inhibiting large-scale nucleic acid archives needed for global genomic biobanking. We introduce a scalable room-temperature storage system with minimal physical footprint that enables database-like queries on encapsulated, barcoded, and pooled nucleic acid samples. Queries incorporate numerical ranges, categorical filters, and combinations thereof, advancing beyond previous demonstrations of single-sample retrieval or Boolean classifiers. We evaluate this system on ninety-six mock SARS-CoV-2 genomic samples barcoded with theoretical patient data including age, location, and diagnostic state, demonstrating rapid, scalable retrieval. We further demonstrate storage and sequencing of human patient-derived nucleic acid samples, illustrating applicability to clinical genomic analysis. By avoiding freezer-based storage and retrieval, this approach scales to millions of samples without loss of fidelity or throughput, enabling large-scale pathogen and genomic repositories in under-resourced or isolated regions of the US and worldwide.",nature_html,0,,"通过从室温档案中选取多功能、可伸缩的生化材料,使全球规模的核糖酸储存库得以建立","常规储存和回收核酸标本,特别是不稳定的RNA,依靠昂贵的冷链基础设施和效率低下的机器人处理,抑制全球基因组生物库所需的大规模核酸档案,我们采用一个可扩缩的室温储存系统,其物理足迹最小,能够对封装、条形码和集合核酸样本进行数据库式查询,包括数字范围、绝对过滤器及其组合,超越了以往单一抽样检索或布列安分类器的演示。我们用96个模拟SARS-COV-2基因组样本对该系统进行了评估,这些样本与理论病人数据包括年龄、位置和诊断状态,显示了快速、可缩放的复位。"
